pitcher,game_year,BFs,age
007d7209f1d3287648e11f52c5a5148732f7a791,2022,57,23
007dcc596b82af90fd37f3413e98812b87a6b305,2022,39,28
0110ddbbd4e67bbd0a355dd5561021b075920eb3,2022,827,28
01171c9c71028faf86b7447ec692000f50df9fac,2022,253,28
02704f6c055abbf858edfd3d220970ef99cb2212,2022,494,25
03791f97725b6c625c3760cf9bf1c9e4b1224266,2022,65,26
03e2eae7a110aca5c7e1d13a103ee2222beb1f76,2022,267,33
04994290f0133acc8b036b3d3bc14ceda5b0d012,2022,400,24
04c55b806675c5b5cc0e9fa9b5bcfa1447ffdd43,2022,10,26
04cc7babf2db7c7531580c6f4d2e313c5c9bf560,2022,206,NA
0511a4e51e2e6e7f78a0acfb2ec603a9ab4acbe0,2022,113,35
05be3956d27c3b3be379f57cb8342670dd53475e,2022,111,NA
0787a0194110f04cfac70c22b35b79e710e93e0d,2022,165,NA
07e8de1651c4ae76a9c001dd3a3e49aaaf23f3c4,2022,218,NA
0867cdc89466ca1651ec177e322cb5b045126a49,2022,120,29
08a7ee474cc1fbfeb48e48b23b82fb9efd3c0f02,2022,11,25
08d240df712d1b0a76fbd4faa39e27a73e917e26,2022,256,30
0970a31949e9d9c0db5d90ee6eaee120529ad264,2022,219,30
0a79e3f0922e544889960f9d5cce77bbda72656f,2022,292,NA
0b45bde37e380498cfc1bc4a6153567ec74d63b0,2022,698,32
0b6c7a9ff58dc18e0e462ff7ac31aab5947124e5,2022,802,40
0b7ac2052237fe7518844407df4c965305fae3a9,2022,232,27
0b7e91b73e8e3ce2c1aa8d74416e37aa24d45b60,2022,40,24
0c049bc522425eab3482cc503f0c1f416be05b4f,2022,432,30
0c4f445f2fdffde759e980128f97f1ff82acab07,2022,64,30
0e83bafabb77ec13c356db364be8cea1d55afcfe,2022,258,33
0e86bc7879803f7bcc6f16386e6f64c578a22199,2022,22,27
0ee3df1098059e6b92b36351128009c9780a2762,2022,92,39
0ee7034f12f94818aaec99c76c50eb4293b7d25f,2022,162,35
0f061b9439845159c394a71e55d635b10ca25656,2022,710,29
0f3d17ddf7bc6f4e5b6b2596398e2c2b58b32dd3,2022,262,28
0f6f7dd4c7c721f600af26ad567098a067b08504,2022,164,29
0fea51e726b4331c7feee982dbfccf81ecd13b45,2022,87,28
102be786b501ac586b0919515e7707ff61c84bf4,2022,114,27
1039ef0b36a4d7d4c2e9b7b6c2084b3cf99c11dc,2022,288,27
10fedf67aa649b50c9974dd8fdfef7a128e5adc3,2022,277,31
1135f07053712b4212356258dd930c6e57fd16a5,2022,239,28
11416d11059c8d9746e5810a0b83471293d2bfef,2022,771,35
116bf451ad3ada01098811683426047231cca18e,2022,258,32
128fe6dd25440763451e54ebbf3e946fc7dd735d,2022,89,30
140fd35c368bfc998d01649803e18e1002d93fdc,2022,70,30
1429b8d0ce29daa4b0305cb80a3fd5589b478241,2022,26,NA
1470b9d18de9aca99a1d42b2ab8f32baec7ecd3c,2022,124,28
148f176b02dce29b83edb4320503dc4d23955f9c,2022,802,33
14d989d8d61ab52344d12d6c7c25673cb91b8e75,2022,23,33
151e3a419b9084ed3fb6d18a9d95bea2897dd4d6,2022,512,34
155168f6c29c329f20d476d9f6181bf8ee1e335b,2022,8,25
1563b7e821ce94e55b751e2656d96bb2de8d6795,2022,94,35
15a6b409ec1b7895fe421b26b3a0b1778bc85095,2022,27,29
15c031ae969e2fad5ae5d52bf2ef2c357da8e78e,2022,166,26
15cf631818905e2aba93aabd57046f07a210f484,2022,29,28
165fd9b7358e92833b4563e3588f3aa3076f823c,2022,286,31
17922e663e4a55711428dc4599e10d8bf78f1748,2022,165,29
17ae4c3c46b4a4cccd1e887924a21796cacbdf79,2022,195,28
17cbce1de7a9d4e31952e86ba69ced3fa5f1c28c,2022,47,29
18396fcf5f98aac97ec6127f7924868d3ef7bd9e,2022,660,27
184ba48e3db09e2f095182dbeb8945a23d6f61a7,2022,223,30
18528791c4e10e05e8ff867d0b20538034872933,2022,12,NA
192d31d34cbf8d951c0e100e5f726681eef343d8,2022,271,34
196115bd13924ea956ac982f6673bbc0ec717546,2022,56,NA
19a16a0f9bad918752029086cbc39e8d625d9514,2022,442,29
1aec22a2dc737a6a12dce27f5d88561807a87e37,2022,7,30
1b5c8f80c2cdb82559746bad952e4220fe97c80d,2022,13,30
1b6e325206b56276bc690f3f7397aa8e4cfa7507,2022,263,36
1b8c25d4748b83dced144e1953464d23defeb0fc,2022,108,NA
1bc75725f067aa7ab03a8352212c8e5fd4351038,2022,245,23
1cc43f2912ca249fb9a1cdc475ca052ff9e0868c,2022,245,37
1d392fe0b1ce6c5acf9617caffaf58cbd4848115,2022,279,27
1d740c776101050cefeca93cd8dda4e6b9e7cbc2,2022,208,27
1d7beaf707e455f76ede0b81f60d4ec6a8776030,2022,451,34
1df963b3d540d35badcbf3958f021f4c840da4c5,2022,178,26
1f1054b7bb66bc69aa38877bf3b9edbd9886ac18,2022,181,NA
1fa87945c3ee6516a00ae1d7003df4789de36661,2022,569,30
1fb28f21cef40755e2a212961ff20f84a625c889,2022,113,27
1fc56dde27923c1f2c972c36262ed88a376f0c72,2022,224,32
2015ffd22e8e0512d9b33c8d7a8bfb7b0e510432,2022,77,NA
20307b1d417f951be7b27066c2b7d8d39aa944c0,2022,43,25
20880521c2c15f79ab9728bd4e144add7bbedfd4,2022,712,32
210c8661194eec2c8657689de71dba9d49f2c6a9,2022,79,33
210e8eb72fd863044b7e911862dfe01a35d6f18f,2022,7,27
2218a9b7c80545dbbf19207aa0a7ae665d871997,2022,8,31
227278769ed44d180d373e42bce38bc84d374030,2022,741,24
228730d290ac32adc634c863565498ba3e65315c,2022,66,25
22e048efcadabdbb2f9150cd00d9bb7d08c4eab9,2022,93,26
248107deaa8a879b2d8c74da6442181c3612f51f,2022,145,28
24c75fe780af78a4acf2ab07e13e571b30101251,2022,26,28
2520b6339c384f8f3fd26d7e9d19a7fda038b704,2022,19,24
25a0a4ca22cbf1a928e8d251085e8c85b9a76da8,2022,157,25
264420f7804884c990caebcf743ee98c87d86349,2022,243,31
269a1a9d4a0e9ec46d1c0dcf72843bc544d8207e,2022,86,25
26b016cf8e8536053cd109aa8e1502db6d46478f,2022,10,31
2738afd92aab9a593a247e910986394c906d4fe0,2022,99,NA
27653562f25fddfedbb6862c6f7f775e3aee8729,2022,503,27
27b2eba8ae0d45397910727bd67244fd77221377,2022,16,25
27c6fba076399f5a9ed7d239040f8a5278e0b538,2022,44,26
289266c55934030cf386fdf06b232e864c6eeb2d,2022,67,25
28dd38301fa9d75928bdbf245b8262c4bf7e02da,2022,204,27
2900026277a43ce449d9fbacfd01895241edfd71,2022,29,34
29a888709565675646dc9e12dd4475920881f41c,2022,643,25
29be0196e90ec2730c66e14d9db7f44d9dc832a7,2022,92,27
2a706d34fdf633398c1bacfea10d942de9e2c9db,2022,189,28
2acf5e9ceb8ce9a5cadb881644fbbad57a194b3f,2022,606,31
2b62a9e809d4cb29e0c7ade6c1ba064b6a2c7443,2022,17,22
2c06050c5104e14ea16b448cdb68c98c6fdb6022,2022,256,25
2c7d2bd4db2220cdd1fdb1c54666f304e91dcd88,2022,204,26
2cf7394ffcf79450ee4e4a683bd34563bcd3c3e6,2022,249,NA
2d310aed9922aa4d8f64f102c753024d34182882,2022,215,30
2e0bbe85d94cc8ad646e7b01f42776195c3fec5c,2022,97,22
2e2f82f44014444369b40a5d707da242edadfbf1,2022,187,26
2e3120e7f156fe8931942eb51d679d57dab7450c,2022,287,26
2e68dc279251e6c847a8c8d7e1a3076cbd1cc93a,2022,50,31
2f1d4ce7cc99807afd0887a8c9726ae646c6ed1a,2022,200,27
2f92e102307d680e24f2a5fb63dff8b7ecde998b,2022,4,31
3087242369b2d930919a24f18465410ac9ec13ad,2022,234,33
309a1f01f20d5291c0ecd0a7cdfa6c248ea61dcf,2022,234,28
31ef0f4e5590e1a0197608885de3727a600d250e,2022,177,25
3208487e36582aa22a103583d2ac63c766aca1a4,2022,196,29
32603421aea266b74d441ebfe6f97a7cf4c4670a,2022,782,30
3304ddb1ae3c28e484f383e6609fd35f1778ddf7,2022,262,28
33438ca2fdf93ff73b2e1bcc5da3058a04cf1661,2022,216,26
3357488d4771f0c815e0d61df19e152f9e389a03,2022,554,31
33d6d01286ab9b0c598290b753236b9454c28cd4,2022,191,27
33f50b682fed41f36da8147ac43882043bed55b7,2022,97,31
3413d19bda57f66632b095148aeec68257f47036,2022,229,NA
34190fba310a52459744c4574d93853243ee9eca,2022,738,28
34294c5b512043e6f7ad920382ed06035f0982b8,2022,773,29
34415ee2ef93a38bffd2295405d657ece1b20853,2022,885,26
344e98dd689d8d01d9d741a9eaf166ea93ab2cb0,2022,639,24
34505025fb4406cbedcee444836fa9324d7ee574,2022,714,26
34db29c6c5dba776c3229d6fd6421da5634440a6,2022,57,25
35a9a6f4775002cac4941a15b11af3640b2a3291,2022,662,26
35ac892926cc593e5859e2dc743c776562ca312f,2022,292,31
35dba25a879c2664e6573a99adc5c180b11e574c,2022,34,28
35ee61646c04b642d8fb2cb054de9abe544e9341,2022,134,27
365f6657aadcb1a12e98f1bcd8c39a8772715437,2022,239,27
369cbabc57e48432e228701fce080636f3e25cf4,2022,277,26
38891f76ea6a9c14cd3bf34a61849fc0c59fa9e0,2022,648,29
39e4ec390ba39c0df8140bece8ee601f966b1453,2022,731,28
3a0069aa7adaee13eac04b432235b9a1364cbf42,2022,411,30
3a6d9db292d4f6c2f2eba69805e41a4a9fc943c7,2022,207,27
3ae724ecfe223e7e9201014053f8fe62a3e9fc1c,2022,735,26
3b17ad65904d6761a98187bf1aa08d7751c1e211,2022,66,NA
3b823f36afdf217a11e5d67235ec17908fdffdf3,2022,77,NA
3c7660be5e64c9406cfbc783d943d39ebfd06b1b,2022,196,29
3c8235024a0e3e3f1dcfef16080eaaf2cffc887b,2022,167,26
3cbe9d3daf5fa5542b86593d2cb23038589e9483,2022,8,26
3cdaad7322b2ac55c62aacda23864a7afb856d5c,2022,587,26
3d23508828119cb2cf632c8294e2a42318c11bf0,2022,271,32
3d65b1ac983ce90ff1f21f56b627883affc7dad1,2022,248,24
3dc47c31ad66fedb5e95d32f9d7e962747662815,2022,621,25
3f0b3f339a269c65d99cd85546ebc14791ad3d3e,2022,269,NA
3ffca17a704b2bdd7b912cacb3c528f5a627fbad,2022,73,24
41926588df39fdf6f7b176316ee2afc9db363844,2022,745,33
41afbb8823e64401a71aaf7b194f53a9a9b0dee8,2022,371,29
4287aa2ff8961c9dca441af92688f8b1465573ff,2022,250,35
42a91743f84132f1bc7884c2a507c1eb66239a1e,2022,453,29
43f3db5bca4b3384d9100cf4752feaff3b4d8848,2022,90,23
45be69e7dbc2d4b228aeb07ec08590cfdc6ff091,2022,235,30
4635310f519b5c2250c60992548a20e7d7275845,2022,288,25
48d72c4d9f603b080bd0cc77ee6a1eadbf3a6b93,2022,779,27
48fd3186a7651fecf835b5fcedda3d78211e2501,2022,5,37
4a1b56a89821e61940d740d12c64a5de44e55f41,2022,175,31
4b2e927b4779f66757c59a57a2e4ccad0f4e54f2,2022,179,29
4bb9e25a0e12691d2555bc4a4c91090fef093159,2022,69,28
4be0e45ba7969bcad788c1410dec531270067842,2022,207,30
4c0a6c143683bdb46a4d0e54c12d92d04837b094,2022,97,35
4c492b69c089b515345aebb3c357c6b5402b150c,2022,17,35
4c9a5e1a93a1fd6e10f21b62dfc397c4e182f56f,2022,242,24
4cb747052eb96c4a0a1fa95bf4accdb22da837d5,2022,263,25
4d1298183510acbfd0087ccacf726abe77fc6e4b,2022,406,26
4d51bd8495cf76a9e4bf42cd3d27b9901a5563ef,2022,223,30
4d7401674f98609d7ca85e20fa15ea13b68033c1,2022,258,35
4dbbac91141b88b6314078302fb155fb4021b09f,2022,172,26
4f95abf1ad643b571799d32932a041fe812ae667,2022,46,NA
4fbf9ffac9fb0ef6c75292f040d9c867b6509522,2022,118,30
504abe1db26bb46fb46ea7cff9ed18221feb6798,2022,243,26
50c753a7d9d97cb204dfa0377065ef4afd9cb0d0,2022,738,26
5130760a30dea638058efc0626c8e92c0370334a,2022,568,27
5135f5f58de005ee87fe5d4d6cd07d12b6814d45,2022,616,26
5162061566d3b114a726d1f46d0c13b488365ccf,2022,175,NA
518bf6df27af8bd8564af654262b56d28a34bfd4,2022,272,32
51ed749ff2ec6535d1a2f5e1cf8f0755c7947076,2022,573,29
530c3fde9670ccb834e877036422f072cffadb3d,2022,91,31
53216214e594f707b528a229d41523492f301ebf,2022,13,34
534e777fdb87941c7bd9423f61368cabf9b79809,2022,229,27
5355c083d8ca64985bd4970d9f2c471bc6a78b5a,2022,267,35
539ba9ce9c572ce6d0a4352db7211b5286e3be05,2022,187,28
5425d5ec46ae422add2e04102b6d7c76fa67717e,2022,320,27
5480ec69eee0fcc62fe90dd57f8945867b4d1a8a,2022,615,27
550a80fa993f27685bb2f91d08310656d0133b35,2022,69,35
558693b14d63414c1b4c3263f131b0be7dee9682,2022,265,27
55f5996485e6a1faa6663ac69374953aaba0e5eb,2022,515,30
5681b7657ff7c609cb34127a516ba274b1616a81,2022,821,31
56ab7b53d0c7dfb20d51179b198940b03b15b3ca,2022,39,27
56c38efc936ad92da986834cbca52c69e4cd182c,2022,254,25
56ddac08236b6ab90f63bc9abac2d7c527d4fae0,2022,134,30
57ed72fa5129e91aaf45fc261c297eb2ee3c6168,2022,103,34
588de3f94a300203525ecdc49bb28e389354e0c8,2022,452,32
5952cda04ebf6c2b203a963f16e902994332e8fe,2022,72,30
